SMILES,Concentration_mM,IE,LD50_log10_predicted,LD50_predicted,GHS_category
CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1,0.48,0.996,2.493314886,311.3973308,4
c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.1,0.993,3.026623015,1063.219701,4
c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.1,0.992,3.026623015,1063.219701,4
c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1,0.1,0.99,3.026623015,1063.219701,4
O=C(Cn1cncn1)N1CCC(c2ccc(Cl)cc2Cl)=N1,1,0.99,2.87943341,757.5885633,4
c1ccc2c(c1)OCCOCCOc1ccccc1-c1nnc-2s1,0.1,0.989,2.996024617,990.8881088,4
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,3,0.989,2.992901994,983.7890722,4
NCCOCc1ccc(O)c2ncccc12,1,0.989,2.926310034,843.9370115,4
CC(=O)N1N=C(Cn2cncn2)OC1c1ccc([N+](=O)[O-])cc1,1,0.988,3.214657636,1639.29697,4
COc1ccc(C(=O)CSc2nnc(Cn3cncn3)[nH]2)cc1,1,0.987,3.023970336,1056.745327,4
CC(=NOCn1cnnc1)c1ccc(Cl)c(Cl)c1,1,0.987,2.993913234,986.0824598,4
c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1,0.1,0.986,2.919582106,830.9638022,4
CC(C)(C)c1ccc(CSc2nnc(Cn3cncn3)o2)cc1,1,0.986,2.697419549,498.2181548,4
CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],1,0.985,3.127481362,1341.162377,4
O=C(CSc1nnc(Cn2cncn2)o1)c1ccccc1,1,0.984,2.927793805,846.8252614,4
O=C(C=Cc1ccc(F)cc1)c1ccc(OCn2cncn2)cc1,1,0.983,2.95441108,900.349401,4
NCCNCc1ccc(O)c2ncccc12,0.1,0.982,2.881290864,760.8356672,4
COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,1,0.9814,3.307847199,2031.642079,5
Oc1ccc(Cc2ccccc2)c2cccnc12,1,0.9806,3.048359962,1117.789336,4
O=S(=O)(O)c1c(Cc2ccc3ncccc3c2)c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c1S(=O)(=O)O,1,0.9803,3.676252004,4745.17249,5
CC(=NOCn1cnnc1)c1cc(Cl)ccc1Cl,1,0.98,2.993913234,986.0824598,4
O=C(O[K])C(Cc1c[nH]c2ccccc12)/N=C\\C=C\\c1ccccc1,1,0.98,2.966499673,925.762688,4
O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,1,0.98,2.89287473,781.4023811,4
CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,1,0.978,2.84696499,703.0156449,4
O=C(Cn1cncn1)NNC(=S)NC(O)c1ccccc1,1,0.978,2.840868447,693.2157902,4
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],1,0.9776,2.736467403,545.0889814,4
O=C(O[K])C(Cc1c[nH]cn1)/N=C\\C=C\\c1ccccc1,1,0.977,3.009680601,1022.540694,4
O=S(=O)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1,0.976,3.011238405,1026.21511,4
Nc1nnc(S)s1,1,0.976,3.008974584,1020.879737,4
BrCCCCOc1cccc2cccnc12,1,0.975,2.966414494,925.5811349,4
c1cncc(-c2noc(-c3cccnc3)n2)c1,1.2,0.9743,2.940753919,872.4768641,4
Nc1ccc(Oc2cc(Oc3ccc(N)cc3)cc(Oc3ccc(N)cc3)c2)cc1,1,0.974,3.169226427,1476.476119,4
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],5,0.9739,2.736467403,545.0889814,4
O=C(C/N=C\\C=C\\c1ccccc1)O[K],1,0.973,3.127730548,1341.932118,4
[Br-].c1ccc(CCC[n+]2ccn(CCc3ccccc3)c2)cc1,1,0.973,2.58974146,388.8136113,4
CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],1,0.9727,2.736467403,545.0889814,4
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],1,0.9711,2.736467403,545.0889814,4
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,1,0.971,2.88799905,772.6788948,4
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,1,0.971,2.861902718,727.6168003,4
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],5,0.971,2.736467403,545.0889814,4
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,1,0.9707,3.013356433,1031.232124,4
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,5,0.9704,2.885478789,768.2079355,4
NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,5,0.97,3.151447665,1417.253915,4
c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1,1,0.97,3.062044758,1153.572137,4
c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.5,0.97,2.93205536,855.1757171,4
O=C(Cn1cncn1)N1CCC(c2ccc(F)cc2)=N1,1,0.97,2.82247078,664.4629653,4
CC(C)N(C(=S)NCc1ccccc1)C(C)C,0.2,0.97,2.819594804,660.0773095,4
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,1,0.97,2.739180862,548.505343,4
NNCc1ccc(O)c2ncccc12,1,0.97,2.70052116,501.7890268,4
NOCc1ccc(O)c2ncccc12,1,0.969,3.097594174,1251.970726,4
Sc1nnc(Cn2cncn2)n1N=Cc1ccc(Cl)cc1,1,0.969,3.028383392,1067.53812,4
CCN(CC)c1ccc(C=Nc2nnc(S)s2)cc1,1,0.969,2.992901994,983.7890722,4
CCN1C(=O)CC(C)=Nn2cnnc21,1,0.969,2.896042732,787.1232333,4
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,5,0.9682,2.746140212,557.365666,4
NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1,2,0.968,2.965711914,924.0849866,4
CC(=NOCn1cnnc1)c1ccc(Cl)cc1,1,0.968,2.957897278,907.6058321,4
Oc1c(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)ccc2cccnc12,1,0.968,2.872341206,745.3173068,4
CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,1,0.9672,3.004020156,1009.299728,4
[N-]=[N+]=NCC(CN=[N+]=[N-])OCc1ccc(O)c2ncccc12,1,0.967,2.890094754,776.4164956,4
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],5,0.967,2.736467403,545.0889814,4
CCCCCCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,1,0.9666,3.210267427,1622.809072,4
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,4,0.966,2.855675304,717.2578401,4
c1ccc(Cc2ccc3ncccc3c2)cc1,1,0.9654,3.046678848,1113.47084,4
CCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,1,0.9653,3.210267427,1622.809072,4
Cc1ccc(N2C(=O)C=CC2=O)cc1,1,0.965,2.728086434,534.6707604,4
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,1,0.964,2.874712557,749.3980467,4
CN(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,0.5,0.964,2.829948069,676.0021367,4
c1ccc(N(CC2CO2)CC2CO2)cc1,1,0.963,2.944888631,880.8229688,4
Oc1ccc(CC2=NCCN2)c2cccnc12,1,0.9619,2.872788631,746.0855537,4
COc1ccc(/N=C(/N=N/c2ccccc2)C(C)=O)cc1,0.05,0.9607,3.02385323,1056.460417,4
O=Cc1cc2cc(Cl)ccc2nc1Cl,5,0.96,3.087982482,1224.566803,4
COc1ccc(-c2nnc(-c3ccc(OC)cc3)n2N)cc1,0.2,0.96,3.050583159,1123.526084,4
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(OC(=S)SCC2CO2)cc1,1,0.96,3.037005556,1088.944023,4
c1ccc2[nH]c(CSCc3nc4ccccc4[nH]3)nc2c1,1,0.96,2.976858944,948.110473,4
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,1,0.96,2.778795783,600.8911155,4
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,1,0.9596,3.423817841,2653.492355,5
COc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)cc1,0.5,0.9592,3.170804049,1481.849334,4
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,1,0.959,2.978441166,951.5709293,4
Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.5,0.9587,3.202517913,1594.108629,4
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,1,0.958,3.164727341,1461.259478,4
BrCCCOc1cccc2cccnc12,1,0.957,2.969928786,933.1012823,4
CCCCCCCCCCCCCSc1nc2ccccc2[nH]1,1,0.957,2.941953251,874.8895943,4
CN(C)c1ccc(/C=N/Cc2ccc(O)c3ncccc23)cc1,1,0.957,2.752761944,565.9289933,4
[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,1,0.957,2.58974146,388.8136113,4
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],5,0.9565,2.972773023,939.2323084,4
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],5,0.9553,2.930344575,851.8136094,4
[Br-].c1ccc(CCn2cc[n+](Cc3ccccc3)c2)cc1,1,0.955,2.58974146,388.8136113,4
c1ccc(-c2noc(-c3ccccn3)n2)nc1,1.2,0.9544,2.940753919,872.4768641,4
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccc(OC)cc1.[Br-].[Cl-],1,0.9544,2.879909007,758.4186559,4
COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,1,0.954,2.858938361,722.6672296,4
COc1cccc(-c2cnc3ccccc3n2)c1OC,1,0.953,2.777438915,599.0166786,4
CN(C)c1ccc(/C=C/C2=NN(C(N)=S)C(c3ccc(N(C)C)cc3)C2)cc1,0.05,0.953,2.577499625,378.0068106,4
BrCCOc1cccc2cccnc12,1,0.952,2.969928786,933.1012823,4
CN1CCN(C(=S)NCc2ccc(O)c3ncccc23)CC1,1,0.951,2.793982549,622.2752808,4
COc1ccc(O)c(/C=N/c2ccccc2O)c1,5,0.95,3.341022753,2192.919823,5
C=[N+]([O-])c1cc(Cl)cc2cc(C=O)c(Cl)cc12,1,0.95,3.020152013,1047.495131,4
c1ccc2[nH]c(COCc3nc4ccccc4[nH]3)nc2c1,1,0.95,3.002414367,1005.574766,4
NC(=S)N/N=C\c1ccc(C(=O)O)cc1,0.3,0.95,2.99780678,994.9626553,4
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,5,0.95,2.975144463,944.3749587,4
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,1,0.95,2.869666369,740.7409761,4
c1cc(-c2nnc(-c3ccsc3)s2)cs1,0.1,0.95,2.842451823,695.7477694,4
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/C=C/c1ccccc1.[Br-].[Cl-],1,0.9499,2.84192578,694.9055494,4
NC(=O)c1ccc(N=Cc2cccs2)cc1,5,0.949,2.941563318,874.1044236,4
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],5,0.949,2.930344575,851.8136094,4
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,1,0.949,2.739245806,548.5873711,4
Cc1cc(C)cc(C(O)NC(=S)NNC(=O)Cn2cncn2)c1,1,0.948,2.7904859,617.2852509,4
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],5,0.9479,2.930344575,851.8136094,4
c1ccc(Cc2cccc3ncccc23)cc1,1,0.9474,3.046678848,1113.47084,4
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.5,0.9465,2.930344575,851.8136094,4
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccco1.[Br-].[Cl-],1,0.9465,2.769152965,587.696312,4
CCCCCCOC1C(C2CO2)OC2OC(C)(C)OC21,1,0.946,3.146459405,1401.068615,4
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,1,0.946,2.868424976,738.6266545,4
O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,1,0.945,3.177200782,1503.837056,4
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.05,0.945,2.655154464,452.0166833,4
CCCCCCCCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,1,0.944,3.267806865,1852.707523,4
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.5,0.943,2.55475174,358.7168189,4
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(C)cc1,0.05,0.9425,2.897492068,789.754425,4
Oc1ccc(COCc2ccccc2)c2cccnc12,1,0.942,3.073559087,1184.565518,4
CCOP(=O)(O)C(NC)c1ccccc1OC,1,0.9406,3.249802583,1777.471244,4
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,5,0.94,3.362312943,2303.100781,5
Oc1ccccc1CNCCNCc1ccccc1O,5,0.94,3.123455148,1328.78632,4
Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,5,0.94,3.11695012,1309.031569,4
O=C1Nc2ccccc2SC1c1ccc(Cl)cc1,1,0.94,3.080750989,1204.345208,4
c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1,1,0.94,2.987733376,972.1502145,4
COc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1,0.5,0.94,2.983630041,963.008324,4
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],5,0.94,2.972773023,939.2323084,4
Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,1,0.94,2.94001635,870.996379,4
COc1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,0.1,0.94,2.92331047,838.1282318,4
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,5,0.94,2.883795725,765.2365845,4
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.05,0.94,2.750254337,562.6707465,4
CCCN(CCC)Cc1ccc2cccnc2c1O,1,0.94,2.528010808,337.2957027,4
c1cc(-c2noc(-c3ccncc3)n2)ccn1,1.2,0.9397,2.942859981,876.7181177,4
Nc1ccc(-c2nc3ccccc3[nH]2)cc1,1,0.939,3.261943026,1827.860407,4
O=[N+]([O-])c1ccc(N/N=C/c2ccc(O)cc2O)c([N+](=O)[O-])c1,1,0.9389,2.581611578,381.6028222,4
CSc1scc(C)[n+]1-c1ccccc1.[I-],1,0.9386,2.793752019,621.9450547,4
COC(=O)C1=C(N)Oc2c(ccc3cccnc23)C1c1ccc(OC)cc1,1,0.938,3.038270582,1092.120558,4
COc1ccc(C(C)=NOCn2cnnc2)cc1,1,0.938,3.035906046,1086.190614,4
[N-]=[N+]=NCC(CCl)OCc1ccc(O)c2ncccc12,1,0.938,2.868695644,739.0871366,4
C=CCSc1nc2ccccc2[nH]1,1,0.937,2.829420616,675.181627,4
CCN(CC)CCOCc1ccc(O)c2ncccc12,1,0.937,2.812631267,649.5779398,4
O(CC1CO1)C[C@@H]1[C@@H](OCC2CO2)[C@H](OCC2CO2)[C@@H](OCC2CO2)[C@H](OC)O1,1,0.9365,3.343914508,2207.570122,5
CC(=O)C(/N=N/c1ccccc1)=N\c1ccccc1,0.05,0.9363,2.901245948,796.6103553,4
Oc1c(CN2CCN(Cc3ccccc3)CC2)ccc2cccnc12,1,0.936,2.820110332,660.8613185,4
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,1,0.936,2.71065275,513.6328007,4
CCCCCCn1cc[n+](C)c1.[I-],5,0.936,2.70196474,503.4597317,4
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,1,0.935,2.907797748,808.7191881,4
CC(=NOCn1cnnc1)c1ccc(F)cc1,1,0.935,2.855040937,716.2109179,4
Oc1ccc(CNC(=S)N2CCN(c3ccccc3)CC2)c2cccnc12,1,0.935,2.853977643,714.4595464,4
CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,1,0.9345,3.210267427,1622.809072,4
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,5,0.934,3.864166069,7314.187154,5
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],1,0.934,2.991984936,981.7138904,4
CN(C)c1ccc(C=Nn2c(S)nnc2Cn2cncn2)cc1,1,0.934,2.830080945,676.2089972,4
O=C1C=CC(=O)N1c1ccccc1,1,0.934,2.592578801,391.362132,4
CC1(c2ccccc2)Nc2ccccc2N=C2CCCCC21,1,0.933,2.798010613,628.0737076,4
O=C(OCc1ccc(O)c2ncccc12)c1ccc(Cl)cc1,1,0.931,3.090039078,1230.379476,4
O=S(=O)(O)CCC[n+]1ccn(Cc2ccc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc2)c1,0.01,0.931,2.713287262,516.7580633,4
O(CC1CO1)C[C@@H]1[C@H](OCC2CO2)[C@H](OCC2CO2)[C@@H](OCC2CO2)[C@H](OC)O1,1,0.9308,3.343914508,2207.570122,5
Oc1ccccc1/C=N/c1ccccc1O,5,0.93,3.344317295,2209.618487,5
Cc1ccccc1N=Cc1ccccc1O,1,0.93,3.261963843,1827.948026,4
COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1,1,0.93,3.126438228,1337.9449,4
N1C(CC(=O)NC2CCCCC12)C1C=CC=CC=1,1,0.93,3.115801918,1305.57528,4
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,5,0.93,3.105565019,1275.160993,4
Cc1nccc2c1[nH]c1ccccc12,1.2,0.93,3.053609965,1131.383823,4
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,1,0.93,2.997673101,994.6564441,4
CCCCCCCCCCCCCCCCCN1C(=O)CSc2ccccc21,1,0.93,2.851722769,710.759656,4
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,1,0.93,2.737663073,546.5917511,4
Sc1nc(/N=C/c2cccs2)n[nH]1,5,0.93,2.699987761,501.1731093,4
COC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,1,0.929,3.073838639,1185.32826,4
O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,4,0.928,3.266423463,1846.815295,4
O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,1,0.928,3.034833915,1083.512473,4
N1C2=CC=CC=C2N(CC2CO2)C=1,1,0.928,2.871063011,743.1269494,4
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1,0.05,0.9273,2.897661993,790.0634902,4
O=C(Cn1c(-c2ccc(Cl)cc2)nc2ccccc21)Nc1ccccc1,1,0.926,2.886131064,769.3625888,4
O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)[C@H]3c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,0.27,0.9256,2.808974757,644.1318248,4
CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC,1,0.925,2.759880139,575.2811437,4
Oc1c(CN2CCN(c3ccc(Cl)cc3)CC2)ccc2cccnc12,0.1,0.925,2.745792758,556.9199278,4
