SMILES,Concentration_mM,IE,LD50_log10_predicted,LD50_predicted,GHS_category
C#CCN1C(=O)c2ccccc2S1(=O)=O,1,0.9247,3.156601002,1434.171217,4
O=C1C2C(=CC=CC=2)S(=O)(=O)N1CC#C,1,0.9247,3.156601002,1434.171217,4
Cc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1/N=C/c1c(O)ccc2ccccc12,1,0.9246,3.355257686,2265.988422,5
COc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,1,0.924,2.94840942,887.9927498,4
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],1,0.923,2.861112153,726.2934934,4
COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,1,0.9229,3.390412799,2457.043237,5
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,1,0.9227,2.696684273,497.3753675,4
CCCCCCCCCCCCOC1C(C2CO2)OC2OC(C)(C)OC21,0.1,0.922,3.146459405,1401.068615,4
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,5,0.9219,2.815745588,654.2527977,4
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.5,0.9211,2.800245105,631.3135422,4
Oc1ccc(Cn2c(-c3ccc(Br)cc3)nc3ccccc32)c2cccnc12,1,0.921,2.761485515,577.4116134,4
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.05,0.9208,3.656340672,4532.529842,5
C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,1,0.9207,2.846356023,702.030568,4
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,5,0.92,3.834857416,6836.871473,5
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,1,0.92,2.991565505,980.7662318,4
c1ccc2c(c1)[nH]c1cnccc12,1.2,0.92,2.985003165,966.0579195,4
c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,1,0.92,2.947814724,886.7776201,4
COc1ccc(/C=C/c2nc3ccc(C)cc3[nH]c2=O)cc1,0.1,0.92,2.945167131,881.3879951,4
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.5,0.92,2.93205536,855.1757171,4
O=C(C1C=C(C)N(CNC2C=NC(C)=CC=2[N+]([O-])=O)N=1)OCC,1,0.92,2.930204006,851.5379461,4
O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.1,0.92,2.920767163,833.2343457,4
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,2,0.92,2.903016566,799.8647646,4
N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.1,0.92,2.868173761,738.1995243,4
c1csc(-c2nnc(-c3cccs3)s2)c1,0.1,0.92,2.842451823,695.7477694,4
Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O,1,0.9194,2.86305881,729.5562962,4
CC(=O)NCc1ccc(O)c2ncccc12,1,0.919,3.146885187,1402.442898,4
O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,5,0.919,3.070227907,1175.514274,4
Nn1c(Cc2cccs2)nnc1Cc1cccs1,0.1,0.919,3.058754219,1144.864844,4
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],1,0.919,2.991984936,981.7138904,4
ClC1C=CC(/C=N/CC2=CC=C(C3C2=CC=CN=3)O)=CC=1,1,0.919,2.84795836,704.6255064,4
O=c1cc(/N=C/c2ccccc2)nc2sc(-c3ccc(Cl)cc3)c(O)c(=O)n12,1,0.918,3.038158327,1091.838306,4
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,2,0.918,2.930643685,852.4004789,4
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.05,0.918,2.655154464,452.0166833,4
Oc1ccc(CC2=NCCO2)c2cccnc12,1,0.9165,2.905784124,804.978208,4
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,5,0.916,3.073886052,1185.457672,4
Nc1nc(-c2ccccc2)cs1,2,0.916,2.861465213,726.8841732,4
CN=C(C)S/C=C(\C)c1ccc(O)cc1,1,0.916,2.674579366,472.6932123,4
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Cl,1,0.916,2.634461568,430.9844177,4
COc1cccc(-c2cnc3cc([N+](=O)[O-])ccc3n2)c1OC,1,0.915,2.883365169,764.4783118,4
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,5,0.914,2.967312334,927.4966175,4
CCCCCCC[n+]1ccccn1.[I-],1,0.914,2.682322681,481.1967456,4
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,1,0.913,3.012367108,1028.885644,4
N#CC1=C(N)N(C2[C@H](O)O[C@@H](CO)[C@H](O)[C@H]2O)c2[nH]c(=O)[nH]c(=O)c2C1c1ccc([N+](=O)[O-])cc1,0.5,0.9127,2.557085401,360.6495552,4
O=C1Nc2ccccc2/C1=N/c1ccc(O)cc1,1,0.912,3.110320376,1289.200235,4
C(=Nc1nc[nH]n1)c1ccc(C=Nc2nc[nH]n2)cc1,1,0.912,2.870957469,742.9463763,4
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.5,0.9116,2.930344575,851.8136094,4
N1=CC=CC2=CC=C3C(=C12)OC(C(=C3C1=CC=CC=C1)C#N)N,1,0.911,2.780021227,602.5890381,4
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,1,0.9103,2.797703227,627.6293252,4
O=P(O)(O)C(O)c1ccccc1,0.4,0.91,3.196256876,1571.291916,4
CCCCCCSc1ncnn1N,1,0.91,3.04631354,1112.534635,4
Cc1n[nH]c(=S)n1/N=C/c1cccc(Cl)c1Cl,0.5,0.91,2.98229866,960.0606296,4
Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-],1,0.91,2.947160404,885.4425825,4
O=C(C[n+]1ccccn1)c1ccc(Cl)cc1.[Br-],1,0.91,2.91726098,826.5344893,4
CCCCCCSc1ncn[nH]1,1,0.91,2.889350944,775.0878766,4
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,1,0.91,2.76457117,581.5287219,4
C[N+](C)(CCCCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.5,0.9094,3.188631296,1543.943118,4
Nc1nc(-c2ccc(O)cc2)cs1,2,0.909,3.012779997,1029.864285,4
O=[N+]([O-])c1ccccc1-c1nc2ccccc2[nH]1,1,0.909,2.978903905,952.5853655,4
C1OC1CSc1nc(N(CC2CO2)CC2CO2)nn1CC1CO1,1,0.908,3.017289686,1040.614052,4
Cn1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc2c1=O,1,0.9072,2.841916847,694.8912558,4
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Cl)cc1,0.05,0.9069,2.870142079,741.5527995,4
CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21,1,0.906,3.004666432,1010.80279,4
C[N+](C)(CCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.5,0.9048,3.188631296,1543.943118,4
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.5,0.9036,3.188631296,1543.943118,4
c1cnc2c(c1)c1nc(-c3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)[nH]c1c1cccnc12,1,0.903,3.037027533,1088.999131,4
Cc1nc(-c2ccccc2)cs1,1,0.903,2.946873668,884.8581753,4
N1C(C/C(=N\C2=CC=CC=C12)/C)=O,1,0.9022,3.073858893,1185.383541,4
OCc1cn(Cc2ccncc2)nn1,1,0.902,3.111562548,1292.892892,4
c1ccc(-c2nnc(-c3ccccn3)c3c2[nH]c2ccccc23)nc1,0.1,0.902,2.936201472,863.3789811,4
O=C1c2ccccc2NC(c2cc([N+](=O)[O-])ccc2O)N1/N=C/c1cc([N+](=O)[O-])ccc1O,1,0.902,2.906545795,806.3912288,4
O=C(OCc1ccc(O)c2ncccc12)c1ccc([N+](=O)[O-])cc1,1,0.901,3.105183316,1274.040742,4
O=C/C=C/C1=CC=C(C=C1)N(C)C,1,0.9,3.084688617,1215.314326,4
C/C(=N\c1ccccn1)c1ccc(O)cc1O,1,0.9,3.009160189,1021.316124,4
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccccc3)ccc2c1,5,0.9,2.979712789,954.3612324,4
Sc1nc(/N=C/c2ccco2)n[nH]1,5,0.9,2.737610075,546.5250528,4
[N-]=[N+]=NCc1cc(CN2CCOCC2)c(O)c2ncccc12,1,0.9,2.702597441,504.1937309,4
Cn1c(-c2ccccc2)nc2ccccc2c1=O,1,0.8993,2.695172643,495.6471835,4
CN1CCN(Cc2ccc3cccnc3c2O)CC1,0.1,0.899,2.716347556,520.4123042,4
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,1,0.898,3.045730144,1111.04115,4
CN(C)c1ccc(-c2nnc(-c3ccc(N(C)C)cc3)o2)cc1,0.1,0.898,2.848882543,706.1265535,4
C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,1,0.897,3.438179814,2742.709522,5
c1ccc2c(c1)N=C1CCCCC1C1(CCCCC1)N2,1,0.897,2.751030388,563.6770957,4
Nc1ccc2sc3ccc(N)cc3c2c1,1,0.895,2.966825236,926.4569338,4
COC(=O)C1=C(N)Oc2c(ccc3cccnc23)C1c1ccc(Cl)cc1,1,0.895,2.783353121,607.2298626,4
OCc1cn(Cc2ccccc2)nn1,1,0.893,3.170607665,1481.179405,4
Nc1ccccc1-c1nc2ccccc2[nH]1,1,0.893,3.151447665,1417.253915,4
c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,1,0.892,3.037854049,1091.073605,4
CCCCCCCC[n+]1ccccn1.[I-],1,0.892,2.682322681,481.1967456,4
O=C(O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1,1,0.8913,3.343579158,2205.866158,5
Nc1nc(-c2ccc(O)cc2)c(Sc2sc(N)nc2-c2ccc(O)cc2)s1,2,0.891,3.042625165,1103.126113,4
O=[N+]([O-])c1ccccc1C=Nn1c(S)nnc1Cn1cncn1,1,0.891,3.001596544,1003.682945,4
CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,1,0.891,2.939852003,870.6668375,4
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,5,0.89,3.180444379,1515.110747,4
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1,1,0.89,2.78459436,608.9678436,4
N#CCc1cc(CN2CCOCC2)c(O)c2ncccc12,1,0.89,2.587848966,387.1229927,4
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,5,0.8898,3.062738299,1155.415791,4
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,5,0.889,2.985923157,968.1065475,4
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,5,0.889,2.96656962,925.9118023,4
Nc1ccccc1C(=O)c1ccccc1,1.4,0.8881,2.950740312,892.7714874,4
CCN(CC)CCN1C(=O)C(=O)c2ccccc21,1,0.888,2.940829905,872.6295288,4
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],1,0.888,2.823330672,665.7798884,4
N[C@@H](CC(=O)O)C(=O)O,1,0.887,3.886896419,7707.196276,5
Oc1ccc(-n2ccnc2)cc1,5,0.887,2.855646963,717.2110349,4
N/N=C(C(=N/c1ccccc1O)/c1ccccc1)\c1ccccc1,1,0.8862,2.983405163,962.5098071,4
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],1,0.886,2.84934595,706.880416,4
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.05,0.8845,3.94864281,8884.700855,5
CCCCn1cc[n+](C)c1.[I-],5,0.881,2.697136152,497.8931504,4
Oc1ccccc1C=Nc1ccccc1O,1,0.88,3.344317295,2209.618487,5
Cc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1,0.5,0.88,3.078514433,1198.158942,4
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,5,0.88,2.985176024,966.4425078,4
COc1cc(/C=N/NC(N)=S)ccc1O,1,0.88,2.785495478,610.2327031,4
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,1,0.88,2.680527427,479.2117161,4
c1ccc(-c2nc3ccccc3[nH]2)cc1,1,0.879,3.213752324,1635.88332,4
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],1,0.878,2.836119028,685.6761262,4
N#CC1=C(N)N(C2[C@H](O)[C@@H](O)[C@H](CO)O[C@H]2O)c2[nH]c(=O)[nH]c(=O)c2C1c1ccc([N+](=O)[O-])cc1,1,0.8779,2.557085401,360.6495552,4
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.5,0.8778,2.930344575,851.8136094,4
Cc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,1,0.8777,2.771987109,591.5440751,4
CCCCCCCCC[n+]1ccccn1.[I-],1,0.877,2.682322681,481.1967456,4
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.5,0.8754,2.755972955,570.1287669,4
COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O,1,0.8753,3.291653973,1957.284571,4
Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,2,0.875,2.95082834,892.9524631,4
NC1=Nc2cccc3cccc(c23)N1,0.1,0.8741,2.496819956,313.9207012,4
O=Cc1c(-c2ccccc2)nc2ncccn12,1,0.874,2.844836057,699.5778604,4
O=c1[nH]c2ccccc2[nH]c1=O,1,0.8714,2.785375874,610.0646681,4
O=Cc1cc2cc(Cl)cc([N+](=O)[O-])c2nc1Cl,5,0.87,3.161775582,1451.361445,4
CCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.01,0.87,3.063116133,1156.421434,4
COOCc1c(N)nnn1Cc1ccc(O)c2ncccc12,1,0.87,3.009455763,1022.011455,4
O=C/C=C/c1ccccc1,1.5,0.8698,3.245860902,1761.411801,4
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1,0.868,3.834857416,6836.871473,5
N[C@@H](Cc1ccccc1)C(=O)O,1,0.868,3.362256274,2302.800284,5
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Cl)cc1,1,0.868,2.634461568,430.9844177,4
CCOC(=O)Cn1c(=O)c(C)nc2ccccc21,1,0.867,3.097569952,1251.900902,4
CCOP(=O)(O)C(NC)c1cccc(OC)c1,1,0.8664,3.272575917,1873.164492,4
COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCCBr)cc1OC.[Br-],5,0.8663,2.691321111,491.27098,4
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,1,0.865,3.094118407,1241.990882,4
CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],5,0.8648,2.972773023,939.2323084,4
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0.05,0.864,3.681226678,4799.839083,5
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,1,0.864,2.914387268,821.0833916,4
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1.25,0.862,3.059440754,1146.676082,4
COc1ccc(N)c([N+](=O)[O-])c1,1,0.861,3.56943683,3710.537541,5
c1ccc2[nH]c(-c3cscn3)nc2c1,1,0.861,3.372901114,2359.940827,5
COc1ccc(/C=C/C=O)cc1,1,0.86,3.237485856,1727.769711,4
Oc1ccc(/C=N/Cc2ccccc2)c(O)c1,0.01,0.86,3.172798924,1488.671671,4
c1ccc(CNCCCN(CCN2CCCCC2)Cc2ccccn2)nc1,1,0.86,2.910913929,814.5428379,4
Brc1ccc2nc[nH]c2c1,5,0.86,2.787249485,612.702264,4
COc1ccc(/C=N\\N2C(=S)NNC2C)cc1,1,0.86,2.575333313,376.1259635,4
CN(C)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)s2)cc1,0.021,0.858,2.518811406,330.2261079,4
Sc1nc(S)c2nc[nH]c2n1,1,0.854,2.748486419,560.3848925,4
CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,1,0.8537,3.459320788,2879.524567,5
O=C1Nc2ccccc2/C1=N/c1ccc(Cl)cc1,1,0.853,2.965186289,922.9672449,4
C(=N/c1ccc(CCc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1ccc2ccccc2n1,1,0.853,2.880710604,759.8197959,4
C1=Nc2cccc3cccc(c23)N1,0.1,0.8526,2.979179293,953.1895941,4
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0.05,0.8524,3.525630738,3354.522725,5
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,1,0.852,3.079923645,1202.053078,4
O=Cc1cc2cc([N+](=O)[O-])ccc2cc1Cl,1,0.85,3.458908009,2876.788996,5
COc1ccccc1N=Cc1ccccc1O,1,0.85,3.306354554,2024.671427,5
COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCBr)cc1OC.[Br-],5,0.8495,2.691321111,491.27098,4
CC1(C)COC(=S)N1,2,0.847,2.695740656,496.2958639,4
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,5,0.846,3.983028331,9616.7501,5
O=[N+]([O-])c1ccc(N/N=C/c2ccc(Cl)cc2)c([N+](=O)[O-])c1,1,0.843,2.805633412,639.1950633,4
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1,0.5,0.842,2.856020638,717.8284028,4
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,1,0.84,3.160991113,1448.742208,4
CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.01,0.84,2.892142537,780.0860965,4
ClCc1nc2ccccc2[nH]1,5,0.839,2.853973639,714.4529591,4
CCCn1cc[n+](C)c1.[I-],5,0.839,2.660244596,457.3456958,4
COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCBr)cc1OC.[Br-],5,0.8337,2.691321111,491.27098,4
OC[C@H]1OC2OC3[C@@H](CO)OC(OC4[C@@H](CO)OC(OC5[C@@H](CO)O[C@H](OC6[C@@H](CO)OC(O[C@@H]7[C@@H](CO)OC(OC8[C@@H](CO)O[C@H](OC1[C@H](O)C2O)[C@H](O)[C@H]8O)C(O)[C@H]7O)C(O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1,0.833,3.003981765,1009.210512,4
CCOC(=O)CC(=O)NCc1ccc(O)c2ncccc12,1,0.832,3.261429579,1825.700688,4
O=Cc1cc2cc(Cl)ccc2cc1Cl,1,0.83,3.251203346,1783.213512,4
CCCCCCSc1nc2ccccc2[nH]1,0.1,0.83,2.941953251,874.8895943,4
Oc1ccc(/C=N/Cc2ccc(F)cc2)c(O)c1,0.01,0.83,2.886031812,769.1867808,4
c1ccc2ncccc2c1,1,0.8296,3.060391456,1149.18899,4
C(=N/c1ccc(Oc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1ccc2ccccc2n1,1,0.828,3.037738358,1090.782994,4
OC1C=CC=CC=1/C=N/CC1C2=CC=CN=C2C(=CC=1)O,1,0.827,3.153453564,1423.815002,4
CNc1ccc(OC)cc1,1,0.827,2.933443048,857.9126025,4
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1,0.824,3.983028331,9616.7501,5
c1ccc2[nH]c(-c3ccncc3)nc2c1,2,0.821,3.061052609,1150.939802,4
Nc1ccc(S(N)(=O)=O)cc1,0.05,0.8208,3.53882514,3458.001201,5
COc1ccc(C=O)cc1Br,1,0.819,3.134735317,1363.751737,4
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,4,0.8187,3.46176146,2895.752636,5
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,1,0.814,2.941259789,873.4937241,4
N(C(=S)NCCNCCNCCNCCN)C(C)=O,1,0.8118,2.6320886,428.6359566,4
C(=N/c1ccc(Cc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1ccc2ccccc2n1,1,0.8111,2.89703098,788.9163918,4
Brc1ccc(-n2ccnc2)cc1,5,0.807,2.640003651,436.5195019,4
CC(=O)c1c(O)cc(C)oc1=O,1,0.806,3.008488853,1019.738587,4
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.25,0.8041,2.952558476,896.5168895,4
O=Cc1ccc(-n2ccnc2)cc1,5,0.804,2.894951127,785.1472741,4
